OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,text,version,cluster_id
Post-reproductive average,period from the end of reproduction until death,days,Hemiptera,Trait: Post-reproductive average. Definition: period from the end of reproduction until death. Unit: days. Organism order: Hemiptera.,v4,-1
Longevity,"sum of all life stage periods in study (pre-reproductive, reproductive, and post-reproductive)",days,Hemiptera,"Trait: Longevity. Definition: sum of all life stage periods in study (pre-reproductive, reproductive, and post-reproductive). Unit: days. Organism order: Hemiptera.",v4,14
development time,mean nymphal development time,days,Hemiptera,Trait: development time. Definition: mean nymphal development time. Unit: days. Organism order: Hemiptera.,v4,12
adult longevity,lifespan of adult aphids,days,Hemiptera,Trait: adult longevity. Definition: lifespan of adult aphids. Unit: days. Organism order: Hemiptera.,v4,14
aphid longevity,lifespan of aphids,days,Hemiptera,Trait: aphid longevity. Definition: lifespan of aphids. Unit: days. Organism order: Hemiptera.,v4,14
fecundity,number of aphids produced,number of offspring,Hemiptera,Trait: fecundity. Definition: number of aphids produced. Unit: number of offspring. Organism order: Hemiptera.,v4,4
body size,mean of weight (unfed),mg,Ixodida,Trait: body size. Definition: mean of weight (unfed). Unit: mg. Organism order: Ixodida.,v4,8
body size,mean of weight (engorged),mg,Ixodida,Trait: body size. Definition: mean of weight (engorged). Unit: mg. Organism order: Ixodida.,v4,8
hypostome length,mean length of hypostome (appendage on the mouth),mm,Ixodida,Trait: hypostome length. Definition: mean length of hypostome (appendage on the mouth). Unit: mm. Organism order: Ixodida.,v4,-1
body length,mean length (unfed ),mm,Ixodida,Trait: body length. Definition: mean length (unfed ). Unit: mm. Organism order: Ixodida.,v4,-1
body length,mean length (engorged ),mm,Ixodida,Trait: body length. Definition: mean length (engorged ). Unit: mm. Organism order: Ixodida.,v4,-1
body width,mean width (unfed),mm,Ixodida,Trait: body width. Definition: mean width (unfed). Unit: mm. Organism order: Ixodida.,v4,-1
body width,mean width (engorged),mm,Ixodida,Trait: body width. Definition: mean width (engorged). Unit: mm. Organism order: Ixodida.,v4,-1
development time,mean duration of incubation period,days,Ixodida,Trait: development time. Definition: mean duration of incubation period. Unit: days. Organism order: Ixodida.,v4,12
development time,mean duration of attachment period,days,Ixodida,Trait: development time. Definition: mean duration of attachment period. Unit: days. Organism order: Ixodida.,v4,12
development time,mean duration of premoulting period,days,Ixodida,Trait: development time. Definition: mean duration of premoulting period. Unit: days. Organism order: Ixodida.,v4,12
feeding period,mean duration of feeding period,days,Ixodida,Trait: feeding period. Definition: mean duration of feeding period. Unit: days. Organism order: Ixodida.,v4,17
preoviposition period,mean days in preoviposition,days,Ixodida,Trait: preoviposition period. Definition: mean days in preoviposition. Unit: days. Organism order: Ixodida.,v4,20
longevity,individual-level duration of adult female life stage,days,Ixodida,Trait: longevity. Definition: individual-level duration of adult female life stage. Unit: days. Organism order: Ixodida.,v4,-1
preoviposition period,individual-level duration of prereproductive period (end of feeding until oviposition),days,Ixodida,Trait: preoviposition period. Definition: individual-level duration of prereproductive period (end of feeding until oviposition). Unit: days. Organism order: Ixodida.,v4,20
ovipositional period,individual-level duration of reproductive period,days,Ixodida,Trait: ovipositional period. Definition: individual-level duration of reproductive period. Unit: days. Organism order: Ixodida.,v4,20
fecundity rate,maximum number of eggs produced in a single day by an individual female,eggs individual-1 day-1,Ixodida,Trait: fecundity rate. Definition: maximum number of eggs produced in a single day by an individual female. Unit: eggs individual-1 day-1. Organism order: Ixodida.,v4,4
peak fecundity,day post engorgement on which an individual female laid most eggs,days,Ixodida,Trait: peak fecundity. Definition: day post engorgement on which an individual female laid most eggs. Unit: days. Organism order: Ixodida.,v4,-1
body size,mean wet mass of an individual tick post engorgement,mg,Ixodida,Trait: body size. Definition: mean wet mass of an individual tick post engorgement. Unit: mg. Organism order: Ixodida.,v4,8
survival rate,percentage of starved larval ticks that survived to the days listed,percent,Ixodida,Trait: survival rate. Definition: percentage of starved larval ticks that survived to the days listed. Unit: percent. Organism order: Ixodida.,v4,11
survival time,mean survival time of fasting nymphs,days,Ixodida,Trait: survival time. Definition: mean survival time of fasting nymphs. Unit: days. Organism order: Ixodida.,v4,10
Pre-Oviposition Period,Pre-oviposition period of ticks held at constant temperature,days,Ixodida,Trait: Pre-Oviposition Period. Definition: Pre-oviposition period of ticks held at constant temperature. Unit: days. Organism order: Ixodida.,v4,-1
Oviposition Rate,mean number of eggs per female,eggs,Ixodida,Trait: Oviposition Rate. Definition: mean number of eggs per female. Unit: eggs. Organism order: Ixodida.,v4,-1
Weight,Weight of eggs laid by an individual engorged female raised at constant temp,g,Ixodida,Trait: Weight. Definition: Weight of eggs laid by an individual engorged female raised at constant temp. Unit: g. Organism order: Ixodida.,v4,8
Weight,Weight of an individual engorged female in grams held at constant temperature,g,Ixodida,Trait: Weight. Definition: Weight of an individual engorged female in grams held at constant temperature. Unit: g. Organism order: Ixodida.,v4,8
Weight,mean weight of larvae during their feeding period,mg,Ixodida,Trait: Weight. Definition: mean weight of larvae during their feeding period. Unit: mg. Organism order: Ixodida.,v4,8
Weight,mean weight of nymphs during their feeding period,mg,Ixodida,Trait: Weight. Definition: mean weight of nymphs during their feeding period. Unit: mg. Organism order: Ixodida.,v4,8
Weight,mean weight of engorged nymphs moulting to males,mg,Ixodida,Trait: Weight. Definition: mean weight of engorged nymphs moulting to males. Unit: mg. Organism order: Ixodida.,v4,8
Incubation Period,Incubation period of ticks held at constant temperature,days,Ixodida,Trait: Incubation Period. Definition: Incubation period of ticks held at constant temperature. Unit: days. Organism order: Ixodida.,v4,-1
Molting Period,number of days required for an individual engorged nymph to molt into an adult,days,Ixodida,Trait: Molting Period. Definition: number of days required for an individual engorged nymph to molt into an adult. Unit: days. Organism order: Ixodida.,v4,18
Feeding Period,number of days required for nymphs to fully engorge,days,Ixodida,Trait: Feeding Period. Definition: number of days required for nymphs to fully engorge. Unit: days. Organism order: Ixodida.,v4,-1
Feeding Period of Nymphs (Days),number of days required for nymphs to fully engorge,days,Ixodida,Trait: Feeding Period of Nymphs (Days). Definition: number of days required for nymphs to fully engorge. Unit: days. Organism order: Ixodida.,v4,-1
incubation period,mean Incubation Period in days from egg to larvae at constant temps,days,Ixodida,Trait: incubation period. Definition: mean Incubation Period in days from egg to larvae at constant temps. Unit: days. Organism order: Ixodida.,v4,16
feeding period,mean Feeding Period in days at larval state at constant temps,days,Ixodida,Trait: feeding period. Definition: mean Feeding Period in days at larval state at constant temps. Unit: days. Organism order: Ixodida.,v4,17
premolting period,mean Premolting Period in days at larval state at const temps,days,Ixodida,Trait: premolting period. Definition: mean Premolting Period in days at larval state at const temps. Unit: days. Organism order: Ixodida.,v4,18
feeding period,mean Feeding Period in days at nymph state at constant temps,days,Ixodida,Trait: feeding period. Definition: mean Feeding Period in days at nymph state at constant temps. Unit: days. Organism order: Ixodida.,v4,17
premolting period,mean Premolting Period in days at nymph state at constant temps,days,Ixodida,Trait: premolting period. Definition: mean Premolting Period in days at nymph state at constant temps. Unit: days. Organism order: Ixodida.,v4,18
feeding period,mean Feeding Period in days at adult female state at const temps,days,Ixodida,Trait: feeding period. Definition: mean Feeding Period in days at adult female state at const temps. Unit: days. Organism order: Ixodida.,v4,17
preoviposition period,mean Preoviposition Period in days at adult female state at const temps,days,Ixodida,Trait: preoviposition period. Definition: mean Preoviposition Period in days at adult female state at const temps. Unit: days. Organism order: Ixodida.,v4,20
oviposition period,mean Oviposition Period in days at adult female state at const temps,days,Ixodida,Trait: oviposition period. Definition: mean Oviposition Period in days at adult female state at const temps. Unit: days. Organism order: Ixodida.,v4,20
weight,Mean weight on day of hatching,ug,Ixodida,Trait: weight. Definition: Mean weight on day of hatching. Unit: ug. Organism order: Ixodida.,v4,8
weight,Mean weight 14 days after hatching,ug,Ixodida,Trait: weight. Definition: Mean weight 14 days after hatching. Unit: ug. Organism order: Ixodida.,v4,8
weight,Mean weight on day of engorgement,ug,Ixodida,Trait: weight. Definition: Mean weight on day of engorgement. Unit: ug. Organism order: Ixodida.,v4,8
weight loss,Percentage loss in body weight during larval prefeeding period,percent,Ixodida,Trait: weight loss. Definition: Percentage loss in body weight during larval prefeeding period. Unit: percent. Organism order: Ixodida.,v4,3
weight loss,Percentage loss in body weight during larval molting period,percent,Ixodida,Trait: weight loss. Definition: Percentage loss in body weight during larval molting period. Unit: percent. Organism order: Ixodida.,v4,3
weight loss,Percentage loss in body weight during nymphal prefeeding period,percent,Ixodida,Trait: weight loss. Definition: Percentage loss in body weight during nymphal prefeeding period. Unit: percent. Organism order: Ixodida.,v4,3
weight loss,Percentage loss in body weight during nymphal molting period,percent,Ixodida,Trait: weight loss. Definition: Percentage loss in body weight during nymphal molting period. Unit: percent. Organism order: Ixodida.,v4,3
weight loss,Percentage loss in body weight during female prefeeding period,percent,Ixodida,Trait: weight loss. Definition: Percentage loss in body weight during female prefeeding period. Unit: percent. Organism order: Ixodida.,v4,3
weight,"Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity""",mg,Ixodida,"Trait: weight. Definition: Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity"". Unit: mg. Organism order: Ixodida.",v4,9
weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,Ixodida,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after molting. Unit: mg. Organism order: Ixodida.,v4,9
weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,Ixodida,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt). Unit: mg. Organism order: Ixodida.,v4,9
weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,Ixodida,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after engorgement. Unit: mg. Organism order: Ixodida.,v4,9
weight,Mean egg mass,mg,Ixodida,Trait: weight. Definition: Mean egg mass. Unit: mg. Organism order: Ixodida.,v4,8
Efficency,Percent weight transfered from engorged female at constant temperature to mass of eggs,percent,Ixodida,Trait: Efficency. Definition: Percent weight transfered from engorged female at constant temperature to mass of eggs. Unit: percent. Organism order: Ixodida.,v4,2
Weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,Ixodida,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after molting. Unit: mg. Organism order: Ixodida.,v4,9
Weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,Ixodida,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt). Unit: mg. Organism order: Ixodida.,v4,9
Weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,Ixodida,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after engorgement. Unit: mg. Organism order: Ixodida.,v4,9
egg mass,Mean egg mass by oviposition day of females raised at constant temps,mg,Ixodida,Trait: egg mass. Definition: Mean egg mass by oviposition day of females raised at constant temps. Unit: mg. Organism order: Ixodida.,v4,8
preoviposition period,mean time required for an engorged female tick to begin laying eggs,days,Ixodida,Trait: preoviposition period. Definition: mean time required for an engorged female tick to begin laying eggs. Unit: days. Organism order: Ixodida.,v4,20
incubation period,mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva),days,Ixodida,Trait: incubation period. Definition: mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva). Unit: days. Organism order: Ixodida.,v4,16
hardening period,mean time for a tick to become hardened,days,Ixodida,Trait: hardening period. Definition: mean time for a tick to become hardened. Unit: days. Organism order: Ixodida.,v4,-1
feeding period,mean time required for nymphs to feed,days,Ixodida,Trait: feeding period. Definition: mean time required for nymphs to feed. Unit: days. Organism order: Ixodida.,v4,17
moulting period,mean time required for nymphs to moult,days,Ixodida,Trait: moulting period. Definition: mean time required for nymphs to moult. Unit: days. Organism order: Ixodida.,v4,18
engorgement period,mean time required for females to become engorged,days,Ixodida,Trait: engorgement period. Definition: mean time required for females to become engorged. Unit: days. Organism order: Ixodida.,v4,-1
body size,mean weight of engorged tick,mg,Ixodida,Trait: body size. Definition: mean weight of engorged tick. Unit: mg. Organism order: Ixodida.,v4,8
egg mass,mean weight of eggs,mg,Ixodida,Trait: egg mass. Definition: mean weight of eggs. Unit: mg. Organism order: Ixodida.,v4,8
egg count,mean number of eggs layed,mg,Ixodida,Trait: egg count. Definition: mean number of eggs layed. Unit: mg. Organism order: Ixodida.,v4,-1
body size,mean weight of engored nymphs,mg,Ixodida,Trait: body size. Definition: mean weight of engored nymphs. Unit: mg. Organism order: Ixodida.,v4,8
hatchability,the percent of laid eggs that successfully hatched,percent,Ixodida,Trait: hatchability. Definition: the percent of laid eggs that successfully hatched. Unit: percent. Organism order: Ixodida.,v4,6
conversion efficiency,the ratio of laid eggs to engorged female body mass calculated as the sum of all eggs laid divided by the sum of all females laying eggs,ratio,Ixodida,Trait: conversion efficiency. Definition: the ratio of laid eggs to engorged female body mass calculated as the sum of all eggs laid divided by the sum of all females laying eggs. Unit: ratio. Organism order: Ixodida.,v4,2
survival time,mean time for egg survival,days,Ixodida,Trait: survival time. Definition: mean time for egg survival. Unit: days. Organism order: Ixodida.,v4,10
survival time,mean time for unfed larva survival,days,Ixodida,Trait: survival time. Definition: mean time for unfed larva survival. Unit: days. Organism order: Ixodida.,v4,10
survival time,mean time for engorged nymph survival,days,Ixodida,Trait: survival time. Definition: mean time for engorged nymph survival. Unit: days. Organism order: Ixodida.,v4,10
survival time,mean time for unfed adult survival,days,Ixodida,Trait: survival time. Definition: mean time for unfed adult survival. Unit: days. Organism order: Ixodida.,v4,10
survival time,mean time for engorged adult survival,days,Ixodida,Trait: survival time. Definition: mean time for engorged adult survival. Unit: days. Organism order: Ixodida.,v4,10
survival rate,percentage of unfed adults that survive,percent,Ixodida,Trait: survival rate. Definition: percentage of unfed adults that survive. Unit: percent. Organism order: Ixodida.,v4,11
survival rate,percentage of ticks that survived at 5 degrees celcius,percent,Ixodida,Trait: survival rate. Definition: percentage of ticks that survived at 5 degrees celcius. Unit: percent. Organism order: Ixodida.,v4,11
survival rate,percentage of ticks that survived at 17 degrees celcius,percent,Ixodida,Trait: survival rate. Definition: percentage of ticks that survived at 17 degrees celcius. Unit: percent. Organism order: Ixodida.,v4,11
survival rate,percentage of ticks that survived at 24 degrees celcius,percent,Ixodida,Trait: survival rate. Definition: percentage of ticks that survived at 24 degrees celcius. Unit: percent. Organism order: Ixodida.,v4,11
survival rate,percentage of ticks that survived at 30 degrees celcius,percent,Ixodida,Trait: survival rate. Definition: percentage of ticks that survived at 30 degrees celcius. Unit: percent. Organism order: Ixodida.,v4,11
percent moult,percentage moulted engorged on calves,days,Ixodida,Trait: percent moult. Definition: percentage moulted engorged on calves. Unit: days. Organism order: Ixodida.,v4,-1
premolting period,average pre-moulting period engorged on calves,days,Ixodida,Trait: premolting period. Definition: average pre-moulting period engorged on calves. Unit: days. Organism order: Ixodida.,v4,-1
survival time,average number of days unfed nymphs survived,days,Ixodida,Trait: survival time. Definition: average number of days unfed nymphs survived. Unit: days. Organism order: Ixodida.,v4,10
percent moult,percentage moulted engorged on rabbits,percent,Ixodida,Trait: percent moult. Definition: percentage moulted engorged on rabbits. Unit: percent. Organism order: Ixodida.,v4,-1
engorgement period,average duration of engorgement on calves,days,Ixodida,Trait: engorgement period. Definition: average duration of engorgement on calves. Unit: days. Organism order: Ixodida.,v4,-1
engorgement period,average duration of engorgement on rabbits,days,Ixodida,Trait: engorgement period. Definition: average duration of engorgement on rabbits. Unit: days. Organism order: Ixodida.,v4,-1
hatchability,percent of eggs successfully hatching based on the day of oviposition during which it was laid,percent,Ixodida,Trait: hatchability. Definition: percent of eggs successfully hatching based on the day of oviposition during which it was laid. Unit: percent. Organism order: Ixodida.,v4,6
feeding time,time required for larval ticks to reach engorgement post attachment,days,Ixodida,Trait: feeding time. Definition: time required for larval ticks to reach engorgement post attachment. Unit: days. Organism order: Ixodida.,v4,-1
molting period,time required for engorged larval ticks to molt,days,Ixodida,Trait: molting period. Definition: time required for engorged larval ticks to molt. Unit: days. Organism order: Ixodida.,v4,-1
survival rate,percentage of larval ticks that molted following engorgement,percent,Ixodida,Trait: survival rate. Definition: percentage of larval ticks that molted following engorgement. Unit: percent. Organism order: Ixodida.,v4,11
preoviposition period,mean time until onset of oviposition,days,Ixodida,Trait: preoviposition period. Definition: mean time until onset of oviposition. Unit: days. Organism order: Ixodida.,v4,20
pre hatching period,mean time until hatching,days,Ixodida,Trait: pre hatching period. Definition: mean time until hatching. Unit: days. Organism order: Ixodida.,v4,-1
hatching period,mean time from initiation to completion of hatching,days,Ixodida,Trait: hatching period. Definition: mean time from initiation to completion of hatching. Unit: days. Organism order: Ixodida.,v4,-1
egg conversion ratio,mean weight of eggs / mean weight of engorged females,percent,Ixodida,Trait: egg conversion ratio. Definition: mean weight of eggs / mean weight of engorged females. Unit: percent. Organism order: Ixodida.,v4,2
hatchability,percent surviving life stage,percent,Ixodida,Trait: hatchability. Definition: percent surviving life stage. Unit: percent. Organism order: Ixodida.,v4,6
questing,mean percent of ticks questing,percent,Ixodida,Trait: questing. Definition: mean percent of ticks questing. Unit: percent. Organism order: Ixodida.,v4,-1
preoviposition,Mean preoviposition period in days,days,Ixodida,Trait: preoviposition. Definition: Mean preoviposition period in days. Unit: days. Organism order: Ixodida.,v4,20
oviposition,Mean ovipostion period in days,days,Ixodida,Trait: oviposition. Definition: Mean ovipostion period in days. Unit: days. Organism order: Ixodida.,v4,20
conversion efficiency,Mean index of conversion efficiency- (cumulative egg weight (g)/ replete female tick wt (g) )*100,percent,Ixodida,Trait: conversion efficiency. Definition: Mean index of conversion efficiency- (cumulative egg weight (g)/ replete female tick wt (g) )*100. Unit: percent. Organism order: Ixodida.,v4,2
egg hatch,Mean percentage of eggs hatched,percent,Ixodida,Trait: egg hatch. Definition: Mean percentage of eggs hatched. Unit: percent. Organism order: Ixodida.,v4,6
incubation period,mean egg incubation period,days,Ixodida,Trait: incubation period. Definition: mean egg incubation period. Unit: days. Organism order: Ixodida.,v4,16
lipid content,median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight,NA,Ixodida,Trait: lipid content. Definition: median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight. Unit: NA. Organism order: Ixodida.,v4,-1
Questing Height,questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Ixodida,Trait: Questing Height. Definition: questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm. Organism order: Ixodida.,v4,-1
Distance Traveled,Average distance covered per hour while questing,mm,Ixodida,Trait: Distance Traveled. Definition: Average distance covered per hour while questing. Unit: mm. Organism order: Ixodida.,v4,-1
Questing Time,Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours,percent,Ixodida,Trait: Questing Time. Definition: Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours. Unit: percent. Organism order: Ixodida.,v4,-1
Questing Height,questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Ixodida,Trait: Questing Height. Definition: questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm. Organism order: Ixodida.,v4,-1
Mortality Rate,number that survived the 38 hours,count,Ixodida,Trait: Mortality Rate. Definition: number that survived the 38 hours. Unit: count. Organism order: Ixodida.,v4,-1
Mortality Rate,number that survived the 43 hours,count,Ixodida,Trait: Mortality Rate. Definition: number that survived the 43 hours. Unit: count. Organism order: Ixodida.,v4,-1
Water loss,Water loss of ticks exposed to dry air for 24 hours,mg/cm2,Ixodida,Trait: Water loss. Definition: Water loss of ticks exposed to dry air for 24 hours. Unit: mg/cm2. Organism order: Ixodida.,v4,-1
Weight loss,Weight loss of ticks exposed to dry air for 24 hours,percent,Ixodida,Trait: Weight loss. Definition: Weight loss of ticks exposed to dry air for 24 hours. Unit: percent. Organism order: Ixodida.,v4,3
Water loss,Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins,mg/cm2,Ixodida,Trait: Water loss. Definition: Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins. Unit: mg/cm2. Organism order: Ixodida.,v4,-1
Development time,Mean time from engorgement to moulting,days,Ixodida,Trait: Development time. Definition: Mean time from engorgement to moulting. Unit: days. Organism order: Ixodida.,v4,12
Mortality Rate,Percent mortality in engorged ticks before moulting,percent,Ixodida,Trait: Mortality Rate. Definition: Percent mortality in engorged ticks before moulting. Unit: percent. Organism order: Ixodida.,v4,-1
Oviposition Period,Oviposition Period 1/period(day) in engorged females,days-1,Ixodida,Trait: Oviposition Period. Definition: Oviposition Period 1/period(day) in engorged females. Unit: days-1. Organism order: Ixodida.,v4,-1
Pre-Oviposition Period in engorged females,Pre-Oviposition Period in engorged females,days-1,Ixodida,Trait: Pre-Oviposition Period in engorged females. Definition: Pre-Oviposition Period in engorged females. Unit: days-1. Organism order: Ixodida.,v4,-1
Development Rate (Egg),1 / time for egg incubation across const temps,days-1,Ixodida,Trait: Development Rate (Egg). Definition: 1 / time for egg incubation across const temps. Unit: days-1. Organism order: Ixodida.,v4,-1
Development Rate (Larva),1 / development time of Engorged Larva,days-1,Ixodida,Trait: Development Rate (Larva). Definition: 1 / development time of Engorged Larva. Unit: days-1. Organism order: Ixodida.,v4,13
Development Rate (Nymph),1 / development time of Engorged Nymph,days-1,Ixodida,Trait: Development Rate (Nymph). Definition: 1 / development time of Engorged Nymph. Unit: days-1. Organism order: Ixodida.,v4,13
preoviposition period,Mean Pre-Oviposition Period,days,Ixodida,Trait: preoviposition period. Definition: Mean Pre-Oviposition Period. Unit: days. Organism order: Ixodida.,v4,20
incubation period,Mean Incubation Period,days,Ixodida,Trait: incubation period. Definition: Mean Incubation Period. Unit: days. Organism order: Ixodida.,v4,16
oviposition,daily average number of eggs / female,eggs,Ixodida,Trait: oviposition. Definition: daily average number of eggs / female. Unit: eggs. Organism order: Ixodida.,v4,-1
Body Mass,Weight of an individual engorged female,mg,Ixodida,Trait: Body Mass. Definition: Weight of an individual engorged female. Unit: mg. Organism order: Ixodida.,v4,8
Egg Mass,Weight of eggs laid by an individual female,mg,Ixodida,Trait: Egg Mass. Definition: Weight of eggs laid by an individual female. Unit: mg. Organism order: Ixodida.,v4,8
Body Mass,mean daily weight of larvae during their feeding periods,mg,Ixodida,Trait: Body Mass. Definition: mean daily weight of larvae during their feeding periods. Unit: mg. Organism order: Ixodida.,v4,8
Body Mass,mean daily weight of nymphs during their pharate periods,mg,Ixodida,Trait: Body Mass. Definition: mean daily weight of nymphs during their pharate periods. Unit: mg. Organism order: Ixodida.,v4,8
Body Mass,mean daily weight of nymphs during their feeding periods,mg,Ixodida,Trait: Body Mass. Definition: mean daily weight of nymphs during their feeding periods. Unit: mg. Organism order: Ixodida.,v4,8
Development Rate,percent of immature stages remaining x days after attatchment,percent,Ixodida,Trait: Development Rate. Definition: percent of immature stages remaining x days after attatchment. Unit: percent. Organism order: Ixodida.,v4,13
Development Rate,Percent of emerging males who develop on day X after attatchment (premolt period),percent,Ixodida,Trait: Development Rate. Definition: Percent of emerging males who develop on day X after attatchment (premolt period). Unit: percent. Organism order: Ixodida.,v4,13
Development Rate,Percent of emerging females who develop on day X after attatchment (premolt period),percent,Ixodida,Trait: Development Rate. Definition: Percent of emerging females who develop on day X after attatchment (premolt period). Unit: percent. Organism order: Ixodida.,v4,13
