trait_name,trait_def,trait_unit,best_match_id,best_match_label,confidence,reasoning
mean fecundity,number of nymphs deposited,oviparae/gynoparae,OBA:0003697,multicellular organism fecundity,high,"The VecTraits entry describes fecundity in terms of nymphs deposited, which aligns with the general concept of fecundity in multicellular organisms."
age-specific daily fecundity,new nymphs produced each day,mean number of nymphs,OBA:0003697,multicellular organism fecundity,high,"The VecTraits entry describes fecundity in terms of new nymphs produced, which aligns with the general concept of fecundity in multicellular organisms."
mean fecundity,mean number of offspring produced by females,female/female,OBA:0003697,multicellular organism fecundity,high,"The VecTraits entry describes fecundity in terms of offspring produced by females, which aligns with the concept of fecundity in multicellular organisms."
Reproductive average daily fecundity,the number of newborn nymphs (N1) per female per day,nymphs per day,OBA:0003697,multicellular organism fecundity,high,"The VecTraits entry describes fecundity in terms of offspring per female per day, which aligns with the general concept of fecundity in multicellular organisms."
Reproductive average total fecundity,the number of newborn nymphs (N1) per female,nymphs,OBA:0003697,multicellular organism fecundity,high,"The term 'multicellular organism fecundity' aligns with the concept of fecundity in a multicellular organism, which matches the VecTraits entry describing the number of offspring per female."
fecundity,number of aphids produced,number of offspring,OBA:0003697,multicellular organism fecundity,high,"The VecTraits entry describes fecundity in terms of the number of offspring produced by aphids, which aligns with the concept of fecundity in multicellular organisms."
fecundity rate,maximum number of eggs produced in a single day by an individual female,eggs individual-1 day-1,PATO:0000273,fecundity,high,"The VecTraits entry describes fecundity in terms of reproductive capacity, which aligns with the PATO definition of fecundity as a reproductive quality measured by gamete production."
weight,"Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity""",mg,PATO:0000125,mass,high,"The VecTraits entry describes the weight of nymphs, which aligns with the concept of 'mass' as per PATO's guidance to use 'mass' for biological contexts."
weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,PATO:0000125,mass,high,"The VecTraits entry describes the weight of an organism, which aligns with the PATO term 'mass' as it is the appropriate concept for biological weight measurements."
weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,PATO:0000125,mass,high,"The VecTraits entry describes the weight of an organism, which aligns with the PATO term 'mass' as it is intended for biological uses of weight."
weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,PATO:0000125,mass,high,"The VecTraits entry describes the weight of an organism, which aligns with the PATO term 'mass' as it is used for biological contexts instead of 'weight'."
Weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,PATO:0000125,mass,high,"The VecTraits entry describes the weight of an organism, which aligns with the PATO term 'mass' as it is intended for biological use to describe weight."
Weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,PATO:0000125,mass,high,"The VecTraits entry describes the mass of an organism, which aligns with the PATO term for 'mass' as it is the appropriate concept for biological weight."
Weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,PATO:0000125,mass,high,"The VecTraits entry describes the weight of a tick, which aligns with the concept of 'mass' as used in biological contexts according to PATO."
body size,mean wing length (mm),mm,OBA:VT0100005,body size trait,high,"The VecTraits entry describes a trait related to the size of a multicellular organism, specifically mean wing length, which aligns with the concept of 'body size trait'."
body size,mean length,mm,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait'."
body size,mean width,mm,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the mean width of a multicellular organism, which aligns with the definition of 'body size trait' as the size of a multicellular organism."
body size,mean head width,mm,OBA:VT0100005,body size trait,high,"The VecTraits entry describes 'body size' as mean head width, which aligns with the concept of the size of a multicellular organism."
body size,mean thorax length,mm,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing mean thorax length as a measure of body size."
body size,mean wing length,mm,OBA:VT0100005,body size trait,high,"The VecTraits entry describes a trait related to the size of a multicellular organism, specifically mean wing length, which aligns with the concept of 'body size trait'."
body size (length),mean body length,mm,OBA:VT0001256,body length,high,"The VecTraits entry describes mean body length, which directly corresponds to the ontology term 'body length' defined as the length of a multicellular organism."
body size (length),mean body length (adult),mm,OBA:VT0001256,body length,high,"The VecTraits entry specifically refers to the mean body length of an adult organism, which aligns directly with the definition of 'body length' as the length of a multicellular organism."
body length,mean length (unfed ),mm,OBA:VT0001256,body length,high,"The VecTraits entry 'body length' directly corresponds to the ontology term 'body length' which refers to the length of a multicellular organism, matching the definition provided."
body length,mean length (engorged ),mm,OBA:VT0001256,body length,high,"The VecTraits entry describes the mean length of an organism, which aligns with the definition of 'body length' as the length of a multicellular organism."
body width,mean width (unfed),mm,OBA:VT0015039,body width,high,The VecTraits entry 'body width' directly corresponds to the ontology term 'body width' which refers to the width of a multicellular organism.
body size,mean wet mass,mg,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait'."
body size,mean wet mass (waxless and gravid),mg,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait'."
body size,mean dry mass,mg,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing mean dry mass as a measure of body size."
body size,mean body weight,mg,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing mean body weight."
body size,individual-level mass,mg,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait'."
body size,individual-level wet mass,mg,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait' as the size of a multicellular organism."
body size,mean wet mass on the day feeding was completed,mg,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait'."
body size,mean weight of nymphs post-feeding,mg,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing the mean weight of nymphs post-feeding."
body size,mean body weight of engorged adult females,mg,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing the mean body weight of engorged adult females."
body size,mean wet mass on the day feeding was completed (engorged),mg,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait'."
body mass,mean weight of female,mg,OBA:VT0001259,body mass,high,The VecTraits entry 'body mass' with definition 'mean weight of female' aligns with the ontology term 'body mass' which refers to the mass of a multicellular organism.
body size,mean dry mass. relationship between dry mass and wing length,mg,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait'."
body size,dry mass,mg,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait'."
body size (alate),mean wet mass,mg,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait'."
body size (apterous),mean wet mass,mg,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing the mean wet mass of an organism."
body size (apterous nymph),mean wet mass,days,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing the mean wet mass of an apterous nymph."
body size (mass),mean wet mass,mg,OBA:VT0001259,body mass,high,"The VecTraits entry 'body size (mass)' with definition 'mean wet mass' and unit 'mg' aligns directly with the ontology term 'body mass', which refers to the mass of a multicellular organism."
body size,mean of weight (unfed),mg,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait'."
body size,mean of weight (engorged),mg,OBA:VT0100005,body size trait,high,"The VecTraits entry describes the size of a multicellular organism, which aligns with the definition of 'body size trait' as the size of a multicellular organism."
body size,mean wet mass of an individual tick post engorgement,mg,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing the mean wet mass of an individual tick post engorgement."
Weight,mean weight of larvae during their feeding period,mg,PATO:0000125,mass,high,"The VecTraits entry describes the mean weight of larvae, which aligns with the concept of 'mass' as defined in PATO:0000125, where 'mass' is the preferred term over 'weight' for biological contexts."
Weight,mean weight of nymphs during their feeding period,mg,PATO:0000125,mass,high,"The VecTraits entry describes the mean weight of nymphs, which aligns with the concept of 'mass' as defined in PATO:0000125 for biological contexts."
Weight,mean weight of engorged nymphs moulting to males,mg,PATO:0000125,mass,high,"The VecTraits entry describes the mean weight of nymphs, which aligns with the concept of 'mass' as defined in PATO:0000125."
weight,Mean weight 14 days after hatching,ug,PATO:0000125,mass,high,"The VecTraits entry describes a mean weight, which aligns with the concept of 'mass' as defined in PATO:0000125 for biological contexts."
weight,Mean weight on day of engorgement,ug,PATO:0000125,mass,high,"The VecTraits entry describes 'weight' in terms of 'mass', which aligns with the PATO term that specifies using 'mass' for biological contexts."
body size,mean weight of engorged tick,mg,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing the mean weight of an engorged tick."
body size,mean weight of engored nymphs,mg,OBA:VT0100005,body size trait,high,"The term 'body size trait' refers to the size of a multicellular organism, which aligns with the VecTraits entry describing the mean weight of engorged nymphs."
Body Mass,Weight of an individual engorged female,mg,OBA:VT0001259,body mass,high,The trait 'Body Mass' for an engorged female aligns with the general concept of 'body mass' as the mass of a multicellular organism.
Body Mass,mean daily weight of larvae during their feeding periods,mg,OBA:VT0001259,body mass,high,"The VecTraits entry describes the mass of larvae, which aligns with the definition of 'body mass' as the mass of a multicellular organism."
Body Mass,mean daily weight of nymphs during their pharate periods,mg,OBA:VT0001259,body mass,high,"The VecTraits entry describes the mass of nymphs, which aligns with the definition of 'body mass' as the mass of a multicellular organism."
Body Mass,mean daily weight of nymphs during their feeding periods,mg,OBA:VT0001259,body mass,high,"The VecTraits entry describes the mass of nymphs, which aligns with the definition of 'body mass' as the mass of a multicellular organism."
egg mass,mean egg mass weight,mg,PATO:0000125,mass,high,"The VecTraits entry 'egg mass' refers to the mean egg mass weight, which aligns with the concept of 'mass' as a physical quality."
weight,Mean weight on day of hatching,ug,PATO:0000125,mass,high,"The VecTraits entry describes the mean weight (mass) of an organism at hatching, which aligns with the PATO term for 'mass' as it is the appropriate concept for biological weight."
weight,Mean egg mass,mg,PATO:0000125,mass,high,"The VecTraits entry describes 'mean egg mass', which aligns with the concept of 'mass' rather than 'weight' as specified in PATO:0000125."
egg mass,Mean egg mass by oviposition day of females raised at constant temps,mg,PATO:0000125,mass,high,"The trait 'egg mass' directly corresponds to the concept of 'mass' as it refers to the mean mass of eggs, and PATO:0000125 is the most appropriate term for mass in a biological context."
egg mass,mean weight of eggs,mg,PATO:0000125,mass,medium,"The VecTraits entry describes the mean weight of eggs, which aligns with the concept of 'mass' in PATO, although it is not specific to eggs."
Egg Mass,Weight of eggs laid by an individual female,mg,PATO:0000125,mass,medium,"The trait 'Egg Mass' refers to the weight of eggs, which aligns with the concept of 'mass' in PATO, despite the distinction between mass and weight."
survival time,mean survival time of fasting larvae,days,PATO:0001309,duration,medium,The VecTraits entry describes a temporal extent (survival time) which aligns with the concept of 'duration' as a process quality.
survival time,mean survival time of larvae post hatch,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent (mean survival time), which aligns with the concept of 'duration' as a process quality."
survival time,mean survival time of fasting nymphs,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of survival, which aligns with the concept of 'duration' as a process quality."
survival time,mean time for egg survival,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean time for egg survival, which aligns with the concept of 'duration' as it refers to the temporal extent between the starting and ending point of egg survival."
survival time,mean time for unfed larva survival,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of survival, which aligns with the concept of 'duration' as a process quality."
survival time,mean time for engorged nymph survival,days,PATO:0001309,duration,high,"The VecTraits entry describes a temporal extent (mean time for survival), which aligns with the concept of 'duration' as a process quality."
survival time,mean time for unfed adult survival,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent (mean time for survival), which aligns with the concept of 'duration' as a process quality."
survival time,mean time for engorged adult survival,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent (mean time for survival), which aligns with the concept of 'duration' as a process quality."
survival time,average number of days unfed nymphs survived,days,PATO:0001309,duration,high,"The VecTraits entry describes the average number of days unfed nymphs survived, which aligns with the concept of 'duration' as it refers to the temporal extent between the starting and ending point of survival."
molt success rate (larval),percentage that molted,percent,PATO:0000161,rate,medium,"The trait 'molt success rate (larval)' involves a percentage, which aligns with the concept of 'rate' as a quality of a process, but lacks specificity to molting."
molting ratio (larval),percentage that molted during life stage,percent,GO:0022404,molting cycle process,medium,"The trait 'molting ratio (larval)' relates to the process of molting, and GO:0022404 'molting cycle process' is the closest match despite the lack of a definition."
molting ratio (nymphal),percentage that molted during life stage,percent,GO:0022404,molting cycle process,medium,"The trait 'molting ratio (nymphal)' relates to the process of molting, and GO:0022404 'molting cycle process' is the closest match despite the lack of a definition."
molt success rate (larval),percentage that molted during life stage,percent,PATO:0000161,rate,medium,"The trait 'molt success rate (larval)' involves a percentage, which can be considered a rate, but none of the specific ontology terms directly match the concept of molting success."
molt success rate (nymphal),percentage that molted during life stage,percent,PATO:0000161,rate,medium,"The trait 'molt success rate (nymphal)' describes a percentage of a process occurring, which aligns with the general concept of 'rate' as a process occurrence per unit time, although it does not specify time explicitly."
incubation period,mean duration of egg incubation period (lay to hatching),days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from laying to hatching, which aligns with the general concept of 'duration'."
incubation period,median time from oviposition to hatching,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from oviposition to hatching, which aligns with the concept of 'duration' as a process quality."
incubation period,time from start of oviposition until first eggs hatched,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from start to end, which aligns with the concept of 'duration'."
incubation period,mean duration from oviposition to hatching,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from oviposition to hatching, which aligns with the concept of 'duration' as a process quality."
incubation period,mean Incubation Period in days from egg to larvae at constant temps,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from egg to larvae, which aligns with the concept of 'duration' as a process quality."
incubation period,mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva),days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from egg deposition to larva eclosion, which aligns with the concept of 'duration' as a process quality."
incubation period,mean egg incubation period,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a biological process, which aligns with the concept of 'duration' as a process quality."
incubation period,Mean Incubation Period,days,PATO:0001309,duration,medium,"The trait 'incubation period' refers to the temporal extent of a process, which aligns with the concept of 'duration' as a process quality."
hatching rate,percent surviving life stage,percent,PATO:0000161,rate,medium,"The VecTraits entry 'hatching rate' refers to a percentage of survival, which aligns with the general concept of 'rate' as a process occurrence per unit time, but lacks specificity to hatching."
hatching rate,mean duration of life stage,percent,PATO:0000161,rate,medium,"The VecTraits entry describes a rate related to a life stage, and PATO:0000161 'rate' is a general term for a process occurring per unit time, which aligns with the concept of hatching rate."
hatch rate,mean hatching rate of egg batches,percent,PATO:0001492,growth rate,medium,"Hatch rate involves the change in number of a population, similar to growth rate, but it is not a perfect match."
hatch rate,percentage of egg masses producing larvae,percent,PATO:0001492,growth rate,medium,"Hatch rate involves the change in number of a population (eggs to larvae), which aligns with the concept of growth rate."
hatch ratio,hatching ratio of eggs,percent,PATO:0001470,ratio,medium,"The term 'ratio' is a general concept that can encompass the hatching ratio of eggs, but it does not specifically address biological traits related to hatching."
hatching period,mean time from initiation to completion of hatching,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from start to finish of hatching, which aligns with the concept of 'duration'."
egg hatch,Mean percentage of eggs hatched,percent,GO:0009792,embryo development ending in birth or egg hatching,high,"The term 'embryo development ending in birth or egg hatching' encompasses the process of egg hatching, aligning with the VecTraits entry definition of the mean percentage of eggs hatched."
longevity,aphid lifespan,days,OBA:VT0005372,life span determination trait,high,"The VecTraits entry 'longevity' defined as 'aphid lifespan' aligns well with the ontology term 'life span determination trait' which pertains to the determination of adult lifespan, and both involve measuring lifespan in days."
longevity,lifespan of aphids,days,OBA:VT0005372,life span determination trait,high,"The VecTraits entry 'longevity' referring to 'lifespan of aphids' aligns well with the ontology term 'life span determination trait', which involves the determination of adult lifespan."
longevity,adult aphid survival,days,OBA:VT0005372,life span determination trait,high,"The VecTraits entry 'longevity' defined as 'adult aphid survival' in days aligns well with the ontology term 'life span determination trait', which involves the determination of adult lifespan."
adult longevity,lifespan of adult aphids,days,OBA:VT0005372,life span determination trait,high,The term 'life span determination trait' closely aligns with the concept of 'adult longevity' as it pertains to the determination of adult lifespan.
aphid longevity,lifespan of aphids,days,OBA:VT0005372,life span determination trait,high,"The VecTraits entry 'aphid longevity' directly corresponds to the determination of lifespan, which aligns with the ontology term 'life span determination trait'."
reproductive period,mean duration of life stage,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a life stage, which aligns with the concept of 'duration' as a process quality related to temporal extent."
ovipositional period,mean duration of life stage,days,PATO:0001309,duration,medium,"The VecTraits entry describes a mean duration of a life stage, which aligns with the general concept of 'duration' as a process quality."
pre-oviposition period,mean duration from adult emergence to onset of reproduction,days,PATO:0001309,duration,medium,"The trait 'pre-oviposition period' refers to a temporal extent, which aligns with the concept of 'duration' as a process quality."
post-oviposition period,mean duration of life stage,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a life stage, which aligns with the general concept of 'duration'."
pre-reproductive period,mean duration of life stage,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a life stage, which aligns with the concept of 'duration' as a process quality."
pre-reproductive period,mean duration from adult emergence to onset of reproduction,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from adult emergence to reproduction, which aligns with the general concept of 'duration'."
age at first reproduction,mean age at first reproduction,days,PATO:0000011,age,medium,"The trait 'age at first reproduction' relates to the time quality of age, but none of the terms specifically address reproductive age, making 'age' the closest match."
pre-reproductive period,mean duration to production of first larva,days,PATO:0001309,duration,medium,"The trait 'pre-reproductive period' refers to the time duration until the production of the first larva, which aligns with the concept of 'duration' as a process quality."
preoviposition period,mean duration of prereproductive period (end of feeding until oviposition),days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from the end of feeding to oviposition, which aligns with the concept of 'duration' as a process quality."
ovipositional period,mean duration of reproductive period,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a reproductive process, which aligns with the concept of 'duration' as a process quality."
preoviposition period,mean duration of period before oviposition,days,PATO:0001309,duration,medium,"The trait 'preoviposition period' refers to the duration of time before oviposition, which aligns with the concept of 'duration' as a process quality."
ovipositional period,mean duration of ovipositional period,days,PATO:0001309,duration,medium,"The trait 'ovipositional period' refers to the duration of a process, which aligns with the general concept of 'duration' in PATO:0001309."
preoviposition period,mean duration of life stage,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a life stage, which aligns with the concept of 'duration' as a process quality."
preoviposition period,mean duration from adult emergence to onset of reproduction,days,PATO:0001309,duration,medium,"The trait 'preoviposition period' refers to the duration of time from adult emergence to reproduction, which aligns with the general concept of 'duration' as a process quality."
oviposition period,mean duration of life stage,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a life stage, which aligns with the concept of 'duration' as a process quality."
age at first reproduction,mean duration of life stage,days,PATO:0000011,age,medium,"The trait 'age at first reproduction' relates to the duration of existence, which aligns with the general concept of 'age' as a time quality."
age at first reproduction,mean duration from birth to onset of reproduction,days,PATO:0000011,age,medium,"The trait 'age at first reproduction' relates to a time quality, which aligns with the general concept of 'age' as a time quality inhering in a bearer."
age at first reproduction,mean age at the onset of reproduction,days,PATO:0000011,age,medium,"The VecTraits entry describes a time quality related to the age at which reproduction begins, which aligns with the general concept of 'age' as a time quality."
post-reproductive period,mean duration of life stage,days,PATO:0001309,duration,medium,"The VecTraits entry describes a mean duration of a life stage, which aligns with the general concept of 'duration' as a process quality."
pre-reproductive period,mean rate of life stage completion,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a life stage, which aligns with the concept of 'duration' as a process quality."
reproductive period,mean rate of life stage completion,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a life stage completion, which aligns with the concept of 'duration' as a process quality."
post-reproductive period,mean rate of life stage completion,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a life stage, which aligns with the concept of 'duration' as a process quality."
pre-reproduction period,duration of developmental phases in days,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of developmental phases, which aligns with the concept of 'duration' as a process quality."
reproduction period,duration of developmental phases in days,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of developmental phases, which aligns with the concept of 'duration' as a process quality."
post-reproduction period,duration of developmental phases in days,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent, which aligns with the concept of 'duration' as a process quality."
preoviposition period,mean days in preoviposition,days,PATO:0001309,duration,medium,"The trait 'preoviposition period' refers to a temporal extent, which aligns with the concept of 'duration' as a process quality."
preoviposition period,individual-level duration of prereproductive period (end of feeding until oviposition),days,PATO:0001309,duration,medium,"The trait 'preoviposition period' refers to the duration of a specific biological process, which aligns with the general concept of 'duration' as defined by PATO:0001309."
ovipositional period,individual-level duration of reproductive period,days,PATO:0001309,duration,medium,"The trait 'ovipositional period' refers to the duration of a reproductive process, which aligns with the general concept of 'duration' as a process quality."
preoviposition period,mean Preoviposition Period in days at adult female state at const temps,days,PATO:0001309,duration,medium,"The trait 'preoviposition period' refers to a temporal extent, which aligns with the concept of 'duration' as a process quality."
oviposition period,mean Oviposition Period in days at adult female state at const temps,days,PATO:0001309,duration,medium,"The trait 'oviposition period' refers to the temporal extent of a process, which aligns with the concept of 'duration'."
preoviposition period,mean time required for an engorged female tick to begin laying eggs,days,PATO:0001309,duration,medium,"The trait 'preoviposition period' refers to the time duration for a process, which aligns with the concept of 'duration' as a process quality."
preoviposition period,mean time until onset of oviposition,days,PATO:0001309,duration,medium,"The trait 'preoviposition period' refers to the time duration until oviposition, which aligns with the concept of 'duration' as a process quality."
Oviposition Period,Oviposition Period 1/period(day) in engorged females,days-1,PATO:0001309,duration,medium,"The trait 'Oviposition Period' refers to the temporal extent of a process, which aligns with the concept of 'duration'."
preoviposition period,Mean Pre-Oviposition Period,days,PATO:0001309,duration,medium,"The preoviposition period is a temporal extent between starting and ending points, aligning with the concept of 'duration'."
development time,mean duration of life stage,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a life stage, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development time,median duration of life stage,days,PATO:0001309,duration,high,"The VecTraits entry describes the median duration of a life stage, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development time,mean duration period from aphid birth to its first reproduction,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent from birth to reproduction, which aligns with the concept of 'duration' as a process quality."
development rate,mean rate of life stage completion,days-1,PATO:0000161,rate,medium,"The VecTraits entry describes a general rate of life stage completion, which aligns with the broad concept of 'rate' as a process per unit time."
development rate,rate of life stage completion,days-1,PATO:0000161,rate,medium,"The VecTraits entry describes a general rate of life stage completion, which aligns with the broad concept of 'rate' as a process per unit time, but lacks specificity to match any of the more specific ontology terms."
development time,mean duration of life cycle (egg-to-egg),days,PATO:0001309,duration,medium,"The VecTraits entry describes the duration of a life cycle, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development time,mean duration of life stage (across all humidity levels),days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a life stage, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development time,mean duration for 50 percent of eggs to hatch,days,PATO:0001309,duration,medium,"The VecTraits entry describes the duration of a developmental process, which aligns with the concept of 'duration' as a process quality."
development time,median duration for egg development,days,PATO:0001309,duration,medium,"The VecTraits entry describes the duration of egg development, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development time,mean duration for egg development,days,PATO:0001309,duration,medium,"The VecTraits entry describes the mean duration for egg development, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development time,duration of life stage,days,PATO:0001309,duration,high,"The VecTraits entry 'development time' refers to the temporal extent of a life stage, which aligns with the definition of 'duration' as the magnitude of the temporal extent between the starting and ending point of a process."
development rate,mean duration of life stage,days,PATO:0000161,rate,medium,"The VecTraits entry describes a general rate of development for a life stage, which aligns with the broad concept of 'rate' as a process per unit time."
development time,mean duration of life cycle,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a life cycle, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development time,individual-level duration of life stage,days,PATO:0001309,duration,high,"The VecTraits entry describes the duration of a life stage, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development rate,individual-level rate of life stage completion,days-1,PATO:0000161,rate,medium,"The VecTraits entry describes a general rate of life stage completion, which aligns with the broad concept of 'rate' as a process occurring per unit time, but lacks specificity to match any of the more specific ontology terms."
development time,mean duration of larval attachment developmental phase,days,PATO:0001309,duration,medium,"The VecTraits entry describes the mean duration of a developmental phase, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development rate,mean development rate per day,percent day-1,PATO:0000161,rate,medium,"The VecTraits entry describes a general development rate per day, which aligns with the concept of a rate as a process occurring per unit time, but lacks specificity to match any of the more specific ontology terms."
development time,mean duration from when eggs were deposited to hatch,days,PATO:0001309,duration,medium,"The VecTraits entry describes the duration of a developmental process, which aligns with the concept of 'duration' as a process quality."
development time,mean time to complete nymphal devlopment,days,PATO:0001309,duration,medium,"The VecTraits entry describes the mean time to complete nymphal development, which aligns with the concept of 'duration' as the temporal extent of a process."
developmental time,mean duration of life stage,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of a life stage, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development rate,replicate-level mean rate of life stage completion,days-1,PATO:0000161,rate,medium,"The VecTraits entry describes a general rate of life stage completion, which aligns with the general concept of 'rate' as a process per unit time, but lacks specificity to match any particular development rate term."
development time,mean duration of juvenile stages and from adult emergence to the onset of reproduction,days,PATO:0001309,duration,medium,"The VecTraits entry describes the duration of developmental stages, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development rate,inverse of the mean duration of life stage,days-1,PATO:0000161,rate,medium,"The VecTraits entry describes a general rate of development, which aligns with the broad concept of 'rate' as a process per unit time, but lacks specificity to a particular biological structure or process."
development time,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,PATO:0001309,duration,medium,"The VecTraits entry describes the mean duration of a life stage, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development time,nymphal development time,days,PATO:0001309,duration,medium,"The VecTraits entry describes 'nymphal development time' in days, which aligns with the concept of 'duration' as the temporal extent of a process."
developmental time,number of days at each developmental stage,days,PATO:0001309,duration,high,"The VecTraits entry describes the number of days at each developmental stage, which aligns with the concept of 'duration' as the temporal extent between starting and ending points."
development time,mean nymphal development time,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of nymphal development, which aligns with the concept of 'duration' as a process quality."
development time,mean duration of incubation period,days,PATO:0001309,duration,high,"The VecTraits entry describes the mean duration of the incubation period, which aligns with the concept of 'duration' as a process quality related to temporal extent."
development time,mean duration of attachment period,days,PATO:0001309,duration,medium,"The VecTraits entry describes a temporal extent of a process, which aligns with the concept of 'duration' as a process quality."
development time,mean duration of premoulting period,days,PATO:0001309,duration,medium,"The VecTraits entry describes the mean duration of a developmental period, which aligns with the concept of 'duration' as a process quality related to temporal extent."
Development time,Mean time from engorgement to moulting,days,PATO:0001309,duration,medium,"The VecTraits entry describes the time from engorgement to moulting, which aligns with the concept of 'duration' as the temporal extent between starting and ending points of a process."
